Spanish,English
maldita,damn
comer,eat
número,number
dar,give
necesitas,you need
oportunidad,opportunity
punto,point
misma,same
última,last
afuera,outside
mujeres,women
pensar,think
fueron,were
difícil,hard
vivir,live
paso,He passed
malo,bad
estabas,you were
vivo,alive
haga,make
queda,remains
hijos,children
mayor,higher
fiesta,party
hacen,make
medio,"means, medium"
algunas,some
basta,Enough
arma,weapon
vino,came
meses,months
cuarto,fourth
éste,this
escuela,school
esté,this
dólares,Dollars
tío,uncle
posible,possible
